init;0.056

frame;preprocessing;pyramid gen.;detection
0;1.62723;67.5105;728.016
1;1.62304;67.6015;737.224
2;1.62298;67.5862;751.991
3;1.61994;67.4948;748.358
4;1.61738;67.533;753.315
5;1.6169;67.4971;755.896
6;1.62451;67.573;755.422
7;1.62048;67.596;749.556
8;1.6233;67.5154;752.016
9;1.62451;67.5056;753.473
10;1.61805;67.7203;749.112
11;1.62083;67.4936;751.942
12;1.6495;67.6098;755.842
13;1.64752;67.615;756.513
14;1.62077;67.5766;757.841
15;1.6215;67.5996;758.819
16;1.61773;67.7766;760.731
17;1.62118;67.6362;758.703
18;1.6169;67.6694;758.326
19;1.62563;67.5537;759.748
20;1.61978;67.4517;764.038
21;1.6199;67.6298;762.192
22;2.05488;67.7648;712.843
23;1.62358;67.5121;705.762
24;1.63862;67.5431;712.602
25;2.06285;67.6523;711.108
26;1.63642;67.5196;700.041
27;1.62093;67.6108;703.97
28;1.63523;67.6222;706.508
29;1.62176;67.5659;703.45
30;1.62493;67.604;702.644
31;2.43482;67.5238;706.81
32;1.6433;67.5339;702.383
33;1.62106;67.6103;706.752
34;1.62186;67.5968;706.147
35;1.61754;67.5878;699.794
36;1.66893;67.5021;706.228
37;1.63626;67.5364;707.297
38;1.62723;67.609;704.273
39;1.62326;67.6261;702.419
40;1.62176;67.6328;705.583
41;1.62426;67.5768;713.349
42;1.62166;67.5648;711.566
43;1.62032;67.6402;713.661
44;1.98563;67.5478;717.079
45;1.62214;67.5921;726.106
46;1.62112;67.5794;716.88
47;1.62032;67.5159;716.557
48;1.62141;67.6163;715.92
49;1.61882;67.4904;715.444
50;1.62301;67.5838;717.41
