init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.048128;8.24934;6.15014
1;0.045632;8.24218;6.20851
2;0.045664;8.23706;6.15117
3;0.045056;8.24422;6.09178
4;0.045696;8.25344;6.25459
5;0.044768;8.23706;6.17677
6;0.045056;8.24422;6.23923
7;0.045472;8.2473;6.11226
8;0.045056;8.24934;6.02726
9;0.045728;8.2432;6.27302
10;0.045408;8.24013;6.20134
11;0.046048;8.24422;6.10099
12;0.0456;8.24928;6.20544
13;0.04576;8.23194;6.17062
14;0.045504;8.24115;6.22797
15;0.045056;8.24013;6.13683
16;0.04608;8.2432;6.25562
17;0.045728;8.25139;6.35699
18;0.04608;8.25037;6.26995
19;0.04608;8.24934;6.30784
20;0.04592;8.23194;6.16141
21;0.045632;8.2432;6.20032
22;0.045056;8.24832;5.81325
23;0.045024;8.22886;5.97299
24;0.045568;8.2473;5.88083
25;0.04592;8.24525;5.99654
26;0.04672;8.23603;5.85933
27;0.045984;8.2432;5.60435
28;0.045888;8.2688;6.03443
29;0.045984;8.24115;6.00678
30;0.044704;8.24934;5.78765
31;0.047616;8.24218;5.74464
32;0.04576;8.30362;5.71187
33;0.045824;8.2903;6.00576
34;0.04656;8.28314;6.01498
35;0.045824;8.27597;5.95661
36;0.045536;8.30259;5.96582
37;0.045952;8.28006;5.97811
38;0.045632;8.28826;5.9136
39;0.045536;8.30256;5.82963
40;0.046656;8.28928;5.95558
41;0.101376;8.27798;5.96275
42;0.04544;8.27597;5.96582
43;0.046048;8.28518;6.016
44;0.045856;8.28518;6.20749
45;0.04608;8.2944;6.14298
46;0.045728;8.30054;5.8071
47;0.045792;8.27597;5.99142
48;0.045056;8.27699;6.12557
49;0.045536;8.27597;6.10714
50;0.04544;8.28621;5.96685
