init;0.066

frame;preprocessing;pyramid gen.;detection
0;3.69613;151.923;1462.4
1;3.67062;151.894;1614.31
2;3.63558;151.857;1641.84
3;3.63581;151.796;1665.19
4;3.63798;151.766;1664.04
5;3.64358;151.717;1654.77
6;3.63558;151.86;1657.4
7;3.64086;152.018;1663.24
8;3.63651;151.795;1664.54
9;3.64176;151.751;1654.39
10;3.63786;151.749;1662.87
11;3.65008;151.819;1668.08
12;3.63958;151.908;1669.4
13;3.63574;151.802;1670.72
14;3.63978;151.79;1673.49
15;3.65373;151.776;1682.55
16;3.63776;151.671;1668.27
17;3.63789;151.969;1676.96
18;3.64016;151.869;1668.47
19;3.63846;151.852;1682.79
20;3.64278;151.776;1687.86
21;3.63709;151.812;1687.81
22;3.63491;151.861;1593.26
23;3.64301;151.749;1574.05
24;3.63862;151.767;1576.9
25;3.64381;151.804;1584.48
26;3.64307;151.808;1574.06
27;7.7697;152.316;1569.03
28;6.54467;152.181;1571.73
29;3.63693;151.763;1566.21
30;3.63866;151.869;1569.36
31;3.63597;152.005;1571.35
32;3.6673;151.847;1571.59
33;3.64243;151.738;1576.88
34;3.63475;151.856;1573.99
35;3.72054;151.846;1571.36
36;3.64381;151.836;1570.31
37;3.64285;151.841;1573.43
38;3.63917;151.846;1569.86
39;3.63856;151.958;1574.66
40;3.64662;151.859;1570.19
41;3.63638;151.556;1586.19
42;3.64413;151.714;1585.02
43;3.64106;151.771;1582.75
44;3.65523;151.748;1586.24
45;3.64192;151.748;1595.72
46;3.64003;151.927;1590.33
47;3.64106;151.839;1589.66
48;3.63638;151.797;1589.64
49;3.63235;151.734;1590.78
50;3.66083;151.785;1592.2
