init;0.058

frame;preprocessing;pyramid gen.;detection
0;1.03066;55.6771;257.701
1;1.26848;55.806;266.008
2;1.29021;55.6669;272.471
3;1.31997;55.7291;266.144
4;1.03187;55.4943;271.601
5;1.05757;55.5461;272.832
6;1.03222;55.5453;270.378
7;1.04698;55.5569;264.503
8;1.03088;55.7791;265.344
9;1.04256;55.5299;268.05
10;1.04182;55.5528;265.904
11;1.06582;55.5088;264.475
12;1.05968;55.6759;268.34
13;1.03475;55.5892;274.289
14;1.03619;55.6671;270.972
15;1.01536;55.7128;270.873
16;1.04656;55.5944;268.678
17;1.02874;55.5653;275.859
18;1.0351;55.7902;276.015
19;1.03872;55.5424;269.122
20;1.03853;55.6963;276.567
21;1.0321;55.4735;276.31
22;1.02323;55.5267;246.346
23;1.06579;55.4823;244.406
24;1.03958;55.5723;242.769
25;1.03626;55.8312;241.204
26;1.05414;55.6911;237.961
27;1.04032;55.7097;237.664
28;1.04509;55.704;238.949
29;1.07258;55.6409;240.614
30;1.41066;55.5347;237.179
31;1.05504;55.5006;241.179
32;1.05981;55.537;240.396
33;1.03632;55.5431;241.915
34;1.03571;55.7711;243.39
35;1.0127;55.5019;240.407
36;1.04355;55.4844;243.141
37;1.03978;55.5491;243.785
38;1.0425;55.7896;242.788
39;1.0352;55.5925;241.726
40;1.02342;55.4993;241.898
41;1.02515;55.6835;245.227
42;1.04666;55.5522;245.923
43;1.03197;55.7109;243.53
44;1.0441;55.7389;246.468
45;1.0391;55.5376;249.729
46;1.03712;55.5024;247.089
47;1.05658;55.8004;248.183
48;1.02762;55.5243;247.038
49;1.0687;55.7447;247.374
50;1.01632;55.6012;245.619
