init;0.071

frame;preprocessing;pyramid gen.;detection
0;1.27834;18.6666;256.955
1;0.777248;18.6625;255.105
2;0.790848;18.59;253.97
3;0.766112;18.7499;252.553
4;0.798624;18.6246;255.354
5;0.788544;18.603;255.875
6;0.672;18.5916;253.173
7;0.632;18.6526;255.36
8;0.631776;18.6417;258.104
9;0.634176;18.5721;257.542
10;0.645152;18.5628;257.731
11;0.62992;18.8691;255.724
12;0.631232;18.6579;259.26
13;0.62848;18.625;259.082
14;0.633408;18.6613;255.583
15;0.6328;18.5647;253.623
16;0.637024;18.7706;257.467
17;0.6296;18.6752;256.755
18;0.628352;18.6377;256.363
19;0.630592;18.5741;255.014
20;0.634912;18.779;257.328
21;0.63312;18.7579;260.14
22;0.631968;18.8193;258.291
23;0.629792;18.7922;256.395
24;0.630272;18.6474;254.338
25;0.632384;18.5851;256.586
26;0.639168;18.573;255.08
27;0.632256;18.6617;252.937
28;0.630944;18.5972;252.136
29;0.632352;18.7655;253.425
30;0.633856;18.6471;251.988
31;0.644448;18.5694;252.616
32;0.633472;18.6595;254.747
33;0.633024;18.6027;254.493
34;0.631488;18.7401;256.364
35;0.631456;18.7296;252.722
36;0.631488;18.5973;254.553
37;0.634816;18.5718;255.218
38;0.631168;18.748;254.392
39;0.632768;18.6515;252.724
40;0.628384;18.5763;254.964
41;0.633824;18.7603;255.606
42;0.632096;18.661;256.341
43;0.630112;18.5688;258.469
44;0.63104;18.5837;257.371
45;0.641216;18.6043;257.305
46;0.632896;18.6729;259.92
47;0.63232;18.7482;257.907
48;0.631008;18.8609;256.215
49;0.632256;18.6711;257.041
50;0.631904;18.6632;258.175
